% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 64.16    0.000555           1       404           futex
 17.69    0.000153           0       202           epoll_wait
 15.38    0.000133           0       206           read
  1.97    0.000017           2         7           close
  0.81    0.000007           2         3           write
  0.00    0.000000           0         6           fstat
  0.00    0.000000           0        25           mmap
  0.00    0.000000           0        11           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         2           rt_sigaction
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         4           clone
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         2           epoll_ctl
  0.00    0.000000           0         5           openat
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           eventfd2
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         2           pipe2
  0.00    0.000000           0         5           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.000865                   905         2 total
